global_step,step,mode,phase,draft_length,success,latency_ms,tokens
58,8,fixed_6,steady,6,1,4978,64
59,9,fixed_6,steady,6,1,6147,64
60,10,fixed_6,steady,6,1,5022,64
61,1,fixed_7,steady,7,1,4352,64
62,2,fixed_7,steady,7,1,5250,64
63,3,fixed_7,steady,7,1,5167,64
64,4,fixed_7,steady,7,1,4900,64
65,5,fixed_7,steady,7,1,4771,64
66,6,fixed_7,steady,7,1,4955,64
67,7,fixed_7,steady,7,1,4802,64
68,8,fixed_7,steady,7,1,5414,64
69,9,fixed_7,steady,7,1,5737,64
70,10,fixed_7,steady,7,1,4586,64
71,1,fixed_8,steady,8,1,5108,64
72,2,fixed_8,steady,8,1,5515,64
73,3,fixed_8,steady,8,1,5349,64
74,4,fixed_8,steady,8,1,4326,64
75,5,fixed_8,steady,8,1,3879,64
76,6,fixed_8,steady,8,1,4239,64
77,7,fixed_8,steady,8,1,5276,64
78,8,fixed_8,steady,8,1,4578,64
79,9,fixed_8,steady,8,1,4228,64
80,10,fixed_8,steady,8,1,4163,64
81,1,adaptive,steady,4,1,4029,64
82,2,adaptive,steady,5,1,3852,64
83,3,adaptive,steady,6,1,3793,64
84,4,adaptive,steady,7,1,3755,64
85,5,adaptive,steady,8,1,3769,64
86,6,adaptive,load,8,1,4406,64
87,7,adaptive,load,8,1,4922,64
88,8,adaptive,load,8,1,4669,64
89,9,adaptive,load,8,1,4606,64
90,10,adaptive,recovery,8,1,5324,64
91,11,adaptive,recovery,8,1,5585,64
92,12,adaptive,recovery,8,1,4800,64
93,13,adaptive,recovery,8,1,6215,64
94,14,adaptive,recovery,8,1,5991,64
95,15,adaptive,recovery,8,1,4988,64
